Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mazda,Verisa,No,$400,"173,232",1," Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007180020/2004-mazda-verisa-hatch?referringPage=SearchResults
Mitsubishi,Triton,No,N/A,N/A,0," Front Damage, Roof Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007180047/2015-mitsubishi-triton-d-cab-glx-2-4d-4wd--utility?referringPage=SearchResults
Audi,Q7,No,N/A,N/A,0," Right Rear Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007180084/2019-audi-q7-sq7-quattro-4-0dt-station-wagon?referringPage=SearchResults
Toyota,Vitz,Yes,$0,"67,308",0," Left Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190113/2008-toyota-vitz-hatch?referringPage=SearchResults
Ssangyong,Tivoli,Yes,$0,"118,744",1," Left Front Damage, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190116/2015-ssangyong-tivoli-ltd-auto-1-6p-6at-s-station-wagon?referringPage=SearchResults
Mercedes-Benz,E280,No,"$1,125",N/A,1," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190149/1994-mercedes-benz-e280-sedan?referringPage=SearchResults
Honda,Jazz,No,$425,"120,283",2," Front Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190228/2002-honda-jazz-1-3i-5d-cvt-hatch-hatch?referringPage=SearchResults
Suzuki,Swift,No,$500,N/A,2," Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190283/2011-suzuki-swift-hatch?referringPage=SearchResults
CARAVAN,Nomad 450,No,$800,N/A,0," Front Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007190286/1979-caravan-nomad-450-caravan?referringPage=SearchResults
Toyota,Vitz,No,$925,"150,847",1," Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190287/2002-toyota-vitz-hatch?referringPage=SearchResults
