Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
SWIFT,Challenger Sport 554,2013,No,"$3,950",N/A,0," Right Side Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007430073/2013-swift-challenger-sport-554-caravan?referringPage=SearchResults
Nissan,X-trail,2007,No,$500,"150,380",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430074/2007-nissan-x-trail-station-wagon?referringPage=SearchResults
Renault,Koleos,2015,No,$700,"101,429",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007430085/2015-renault-koleos-2-0-4x4-2-0d-4wd-6a-station-wagon?referringPage=SearchResults
Toyota,RAV4,2009,No,"$1,300","125,934",," Hard Hit, Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430089/2009-toyota-rav4-station-wagon?referringPage=SearchResults
Nissan,Tiida,2009,No,$600,"91,273",," Airbags Deployed, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430102/2009-nissan-tiida-hatch?referringPage=SearchResults
Mazda,Axela,2007,No,$700,"237,055",," Left Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430106/2007-mazda-axela-hatch?referringPage=SearchResults
Toyota,Vitz,2005,No,$650,"170,989",," Structural Damage, Suspension Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430132/2005-toyota-vitz-hatch?referringPage=SearchResults
Honda,CMX,2021,No,$0,1,," Front Damage, Interior Damage, Frame Damaged, Right Front Damage, Right Rear Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300139/2021-honda-cmx-500-p-motorcycle?referringPage=SearchResults
Suzuki,Grand Vitara,2005,Yes,$500,"311,494",," Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430201/2005-suzuki-grand-vitara-wjlx-2-0-5dr-station-wagon?referringPage=SearchResults
Audi,A5,2014,No,"$1,500",N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430253/2014-audi-a5-2-0t-hatch?referringPage=SearchResults
Nissan,Bluebird,2005,Yes,$750,"114,662",," Right Side Damage, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440259/2005-nissan-bluebird-sylphy-sedan?referringPage=SearchResults
Toyota,OPA,2004,No,$500,"185,250",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430343/2004-toyota-opa-hatch?referringPage=SearchResults
Mazda,Atenza,2011,No,$100,"311,842",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430388/2011-mazda-atenza-station-wagon?referringPage=SearchResults
Mazda,Demio,2006,No,$600,"207,380",," Roof Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430393/2006-mazda-demio-hatch?referringPage=SearchResults
Toyota,Corolla,2008,No,$700,N/A,," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430396/2008-toyota-corolla-1-8p-gx-hatch-5-4a-hatch?referringPage=SearchResults
Mazda,Premacy,2007,No,$500,N/A,," Left Front Damage, Left Rear Damage, Left Side Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420395/2007-mazda-premacy-station-wagon?referringPage=SearchResults
Holden,Barina Spark,2014,No,$500,N/A,," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420415/2014-holden-barina-spark-cd-1-2p4a-ha5s-hatch?referringPage=SearchResults
Nissan,Serena,2015,No,"$1,450",N/A,," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",8,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007430441/2015-nissan-serena-station-wagon?referringPage=SearchResults
