Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Vitz,No,"$1,000",N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270001/2006-toyota-vitz-hatch?referringPage=SearchResults
Nissan,Murano,No,"$1,000",N/A,," Light Dmg, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270004/2005-nissan-murano-station-wagon?referringPage=SearchResults
Mazda,CX-5,No,"$1,450",N/A,," Left Front Damage, Right Side Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260025/2014-mazda-cx-5-station-wagon?referringPage=SearchResults
Volkswagen,Golf,No,$750,"181,456",," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270049/2013-volkswagen-golf-tsi-comfortline-7ds-hatch?referringPage=SearchResults
Nissan,Leaf,No,"$1,300","75,231",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic, Fuel Type, Electri",5,Electric,https://manheim.co.nz/damaged-vehicles/000000000007250056/2017-nissan-leaf-hatch?referringPage=SearchResults
Jaguar,X-type,No,$0,"219,210",," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270065/2004-jaguar-x-type-2-5-v6-se-4dr-5spa-sedan?referringPage=SearchResults
Toyota,Echo,No,$600,"76,087",," Left Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270068/2000-toyota-echo-1-3p-hatch5-4a-hatch?referringPage=SearchResults
BMW,750i,No,"$1,300",N/A,," Left Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270084/2009-bmw-750i-sedan-6a-4d-4-8l-sedan?referringPage=SearchResults
BMW,320i,No,"$1,400","55,009",," Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270092/2013-bmw-320i-sedan?referringPage=SearchResults
Holden,Cruze,No,"$1,250",N/A,," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270095/2011-holden-cruze-sri-v-1-4-turbo-at-sedan?referringPage=SearchResults
Nissan,Navara,No,$750,"198,506",, Selling De-Registered,"5spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007260099/2009-nissan-navara-2-5-2wd-at-diesel-dual-cab-utility?referringPage=SearchResults
Mitsubishi,Lancer,No,$550,"188,137",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270115/2011-mitsubishi-lancer-2-0p-vr-sedan-auto-sedan?referringPage=SearchResults
Mazda,Biante,No,$600,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270146/2010-mazda-biante-station-wagon?referringPage=SearchResults
Subaru,Legacy,No,$600,"208,831",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270151/2010-subaru-legacy-station-wagon?referringPage=SearchResults
Toyota,Prius,No,N/A,N/A,," Engine Damage, Front Damage, Left Front Damage, Right Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007260171/2017-toyota-prius-hatch?referringPage=SearchResults
Toyota,Fielder,No,"$1,900","105,999",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270190/2010-toyota-fielder-station-wagon?referringPage=SearchResults
Toyota,Blade,No,"$1,750","193,622",," Right Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270198/2007-toyota-blade-hatch?referringPage=SearchResults
Mazda,Premacy,No,$0,N/A,," Ignition Damage, Left Rear Damage, Left Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270214/2011-mazda-premacy-i-stop-station-wagon?referringPage=SearchResults
Toyota,Avensis,No,$750,"278,016",," Left Rear Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270227/2005-toyota-avensis-station-wagon?referringPage=SearchResults
Ssangyong,Korando,No,$800,"135,080",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270243/2017-ssangyong-korando-sports-auto-2wd-2-0-station-wagon?referringPage=SearchResults
Toyota,Prius,No,$950,"161,390",," Left Front Damage, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007260240/2012-toyota-prius-alpha-station-wagon?referringPage=SearchResults
Mazda,Biante,No,$0,"112,772",, Selling Registered,"Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007260260/2011-mazda-biante-station-wagon?referringPage=SearchResults
Audi,S4,No,"$1,350","76,640",," Right Front Damage, Dismantled - Interior, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270302/2010-audi-s4-station-wagon?referringPage=SearchResults
Jeep,Grand Cherokee,No,$0,"243,686",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270336/1997-jeep-grand-cherokee-limited-station-wagon?referringPage=SearchResults
Toyota,Hilux,No,"$1,500","221,642",," Airbags Deployed, Front Damage, Has Key, Left Front Damage, Left Side Damage, Rear Damage, Structural Damage, Selling De-Registered",N/A,2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270385/1997-toyota-hilux-utility?referringPage=SearchResults
Toyota,Aqua,No,$750,"333,316",," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007270397/2013-toyota-aqua-hatch?referringPage=SearchResults
