Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mazda,Premacy,2012,No,$550,"151,742",," Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered",N/A,7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420018/2012-mazda-premacy-station-wagon?referringPage=SearchResults
Mitsubishi,Lancer,2003,No,$500,"182,896",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420024/2003-mitsubishi-lancer-2-0p-vr-x-sedan-a-sedan?referringPage=SearchResults
Toyota,Aqua,2014,No,$800,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007420028/2014-toyota-aqua-hatch?referringPage=SearchResults
Ford,Courier,2003,No,$950,"229,968",," Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007420033/2003-ford-courier-xlx-crew-cab-dual-cab-utility?referringPage=SearchResults
Nissan,Murano,2006,Yes,$800,N/A,, Selling Registered,"6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420049/2006-nissan-murano-station-wagon?referringPage=SearchResults
Subaru,Forester,2008,No,$650,"256,123",," Has Key, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390040/2008-subaru-forester-station-wagon?referringPage=SearchResults
Suzuki,Swift,2005,No,$400,"146,211",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420055/2005-suzuki-swift-hatch?referringPage=SearchResults
Toyota,Landcruiser,1998,No,$800,"328,690",," Engine Damage, Front Damage, Structural Damage, Stolen & Recovered, Transmission Failure, Water Damage, Selling De-Registered","Automatic,",8,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007420058/1998-toyota-landcruiser-prado-tx-limited-station-wagon?referringPage=SearchResults
Holden,Barina Spark,2014,No,$650,"196,844",," Left Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420060/2014-holden-barina-spark-cd-1-2p-4at-ha-4dr--hatch?referringPage=SearchResults
Ford,Kuga,2013,Yes,"$1,050","144,703",," Left Side Damage, Selling Registered",N/A,5,N/A,https://manheim.co.nz/damaged-vehicles/000000000007420068/2013-ford-kuga-awd-2-0-diesel-auto-station-wagon?referringPage=SearchResults
Toyota,IST,2002,No,$550,"168,065",," Left Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420077/2002-toyota-ist-sedan?referringPage=SearchResults
KTM,390,2021,Yes,"$2,050","10,383",," Stolen & Recovered, Selling Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410100/2021-ktm-390-duke-399p-motorcycle?referringPage=SearchResults
CF Moto,675sr-r,2025,No,$650,"8,582",," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420113/2025-cfmoto-675sr-r-motorcycle?referringPage=SearchResults
Toyota,Vitz,2000,No,$550,"134,268",," Left Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420149/2000-toyota-vitz-hatch?referringPage=SearchResults
Honda,Civic,2004,No,$150,"295,857",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420151/2004-honda-civic-ferio-sedan?referringPage=SearchResults
Mitsubishi,Colt,2005,No,$150,"149,114",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420152/2005-mitsubishi-colt-plus-hatch?referringPage=SearchResults
Nissan,Primera,1997,No,$50,"357,572",," Interior Damage, Stolen & Recovered, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420154/1997-nissan-primera-camino-2-0-sedan?referringPage=SearchResults
Nissan,Tiida,2007,No,$400,"125,474",," Left Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420155/2007-nissan-tiida-hatch?referringPage=SearchResults
Nissan,Tiida,2005,No,$500,N/A,," Left Front Damage, Left Rear Damage, Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420157/2005-nissan-tiida-hatch?referringPage=SearchResults
Toyota,Spade,2013,No,$550,"106,208",," Stolen & Recovered, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420158/2013-toyota-spade-hatch?referringPage=SearchResults
Suzuki,SX4,2008,No,$150,"84,751",," Rolled, Dismantled - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420159/2008-suzuki-sx4-hatch?referringPage=SearchResults
Toyota,Estima,2009,No,$550,"203,179",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007400173/2009-toyota-estima-station-wagon?referringPage=SearchResults
Holden,Trax,2019,No,"$1,500",N/A,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420182/2019-holden-trax-ltz-1-4p-6at-station-wagon?referringPage=SearchResults
Honda,fit,2012,No,$650,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007420194/2012-honda-fit-hybrid-hatch?referringPage=SearchResults
Volkswagen,T5,2007,No,$650,"427,441",," Right Front Damage, Suspension Damage, Selling De-Registered","Automatic,",2,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007410208/2007-volkswagen-t5-swb-2-5tdi-128kw-ma-dual-cab-utility?referringPage=SearchResults
Toyota,SAI,2014,No,"$1,700",N/A,," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007420215/2014-toyota-sai-sedan?referringPage=SearchResults
Nissan,Tiida,2005,No,$350,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420224/2005-nissan-tiida-hatch?referringPage=SearchResults
Nissan,Fuga,2007,No,$500,N/A,," Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420231/2007-nissan-fuga-250gt-sedan?referringPage=SearchResults
Nissan,Leaf,2012,No,$550,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered",N/A,5,Electric,https://manheim.co.nz/damaged-vehicles/000000000007420233/2012-nissan-leaf-hatch?referringPage=SearchResults
Nissan,Pulsar,2014,No,$700,N/A,," Left Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420236/2014-nissan-pulsar-st-sedan?referringPage=SearchResults
Toyota,Aqua,2012,No,$550,N/A,," Front Damage, Glass Broken, Left Front Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007390232/2012-toyota-aqua-hybrid-hatch?referringPage=SearchResults
BMW,320d,2012,No,"$1,050","107,016",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007420271/2012-bmw-320d-sedan-4dr-8a-2-0l-sedan?referringPage=SearchResults
Suzuki,Swift,2013,No,$500,N/A,," Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420272/2013-suzuki-swift-hatch?referringPage=SearchResults
Toyota,Prius,2016,No,"$1,200","122,260",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007420275/2016-toyota-prius-hatch?referringPage=SearchResults
Suzuki,Swift,2012,No,$500,"99,093",," Rear Damage, Structural Damage, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420276/2012-suzuki-swift-gl-1-4-5dr-hatch?referringPage=SearchResults
Subaru,Legacy,2005,No,$550,"197,334",," Rear Damage, Structural Damage, Selling De-Registered","6spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420337/2005-subaru-legacy-station-wagon?referringPage=SearchResults
Nissan,Tiida,2004,No,$400,"176,959",," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420341/2004-nissan-tiida-hatch?referringPage=SearchResults
Mazda,Bounty,2005,No,$650,"259,067",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007420349/2005-mazda-bounty-std-cab-c-c-2wd-dx-x-cab-utility?referringPage=SearchResults
CRUSADER,Single Axle,1975,No,$400,N/A,0," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007420359/1975-crusader-single-axle-caravan?referringPage=SearchResults
Toyota,Aqua,2018,No,"$1,700",N/A,," Structural Damage, Suspension Damage, Under Body Damage, Selling De-Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007420369/2018-toyota-aqua-hatch?referringPage=SearchResults
Toyota,Crown,2008,No,$550,"169,334",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420371/2008-toyota-crown-majesta-sedan?referringPage=SearchResults
Toyota,Will,2004,Yes,$400,"180,454",," Glass Broken, Ignition Damage, Vandalised - Entire Vehicle, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420376/2004-toyota-will-cypha-station-wagon?referringPage=SearchResults
Toyota,Vitz,2006,No,$550,"198,638",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",6,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420378/2006-toyota-vitz-rs-hatch?referringPage=SearchResults
