Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Audi,A7,No,$0,"74,538",1," Right Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240007/2011-audi-a7-2-8l-fsi-hatch?referringPage=SearchResults
Toyota,Wish,Yes,"$1,150",N/A,0," Interior Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240012/2006-toyota-wish-station-wagon?referringPage=SearchResults
Mercedes-Benz,C180,No,$0,"138,017",1," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240025/2012-mercedes-benz-c180-sedan?referringPage=SearchResults
Volkswagen,Tiguan,No,$0,"114,164",1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240060/2013-volkswagen-tiguan-tsi110kw-1-4p6a-ha5-hatch?referringPage=SearchResults
Toyota,Hiace,No,N/A,N/A,0," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",3,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190067/2008-toyota-hiace-2-7p-zl-van-4a-3sea-campervan?referringPage=SearchResults
Suzuki,Swift,No,$0,"166,612",0," Left Rear Damage, Left Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007230081/2007-suzuki-swift-hatch?referringPage=SearchResults
Lexus,RX300,No,$0,"128,351",1," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240094/2005-lexus-rx300-bmr-station-wagon?referringPage=SearchResults
Mazda,Axela,Yes,$0,"147,859",1," Left Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240110/2006-mazda-axela-hatch?referringPage=SearchResults
Lexus,CT200H,Yes,"$7,100","113,981",1," Stolen & Recovered, Selling Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007230117/2016-lexus-ct200h-1-8ph-4wd-cvt-ha-4d-hatch?referringPage=SearchResults
Toyota,Corolla,No,$0,"296,928",1," Left Side Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240127/2007-toyota-corolla-1-8p-gx-hatch-5-4a-hatch?referringPage=SearchResults
