Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Yamaha,MT09A,No,$0,"18,906",," Left Side Damage, Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280007/2021-yamaha-mt09a-spm-motorcycle?referringPage=SearchResults
Toyota,Wish,No,$650,N/A,," Ignition Damage, Stolen & Recovered, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290043/2004-toyota-wish-station-wagon?referringPage=SearchResults
Mazda,Axela,No,$700,"139,888",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290049/2014-mazda-axela-sedan?referringPage=SearchResults
Nissan,Pathfinder,Yes,$900,"222,617",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300065/2012-nissan-pathfinder-station-wagon?referringPage=SearchResults
BMW,130i,Yes,$950,"259,888",," Left Rear Damage, Structural Damage, Selling De-Registered","Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300070/2005-bmw-130i-hatch?referringPage=SearchResults
Nissan,Tiida,Yes,$500,"176,685",," Left Front Damage, Left Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300093/2005-nissan-tiida-sedan?referringPage=SearchResults
CARAVAN,ABI,No,$800,N/A,3," Front Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300094/1999-caravan-abi-caravan?referringPage=SearchResults
Nissan,Pulsar,Yes,$0,"202,259",," Ignition Damage, Left Side Damage, Right Front Damage, Stolen & Recovered, Selling Registered","Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300096/1991-nissan-pulsar-vi-hatch?referringPage=SearchResults
Nissan,Dualis,Yes,$500,N/A,," Right Rear Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300111/2008-nissan-dualis-station-wagon?referringPage=SearchResults
Toyota,Previa,Yes,$700,N/A,," Rear Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300121/2007-toyota-previa-wagon-station-wagon?referringPage=SearchResults
Toyota,Aqua,Yes,$700,"94,272",," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007300129/2012-toyota-aqua-hatch?referringPage=SearchResults
John Deere,6430 STD,No,"$8,050",N/A,0," Engine Damage, Front Damage, Structural Damage, Fire Damaged, Selling De-Registered",N/A,N/A,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300136/2010-john-deere-6430-std-tractor?referringPage=SearchResults
Toyota,Corolla,Yes,"$1,750",N/A,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007300146/2014-toyota-corolla-fielder-hybrid-hatch?referringPage=SearchResults
Nissan,Navara,Yes,"$1,400",N/A,," Left Front Damage, Right Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300148/2014-nissan-navara-d-c-2-5d-4wd-st-x-m-dual-cab-utility?referringPage=SearchResults
Mazda,Axela,Yes,$500,"308,291",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300162/2005-mazda-axela-sedan?referringPage=SearchResults
Toyota,Corolla,Yes,$550,"135,936",," Left Side Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300174/2012-toyota-corolla-fielder-station-wagon?referringPage=SearchResults
Toyota,Aqua,Yes,"$1,400","164,003",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007300197/2015-toyota-aqua-hatch?referringPage=SearchResults
Mazda,Axela,No,$500,"115,974",," Left Side Damage, Dismantled - Interior, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300209/2010-mazda-axela-hatch?referringPage=SearchResults
Toyota,Alphard,Yes,$550,"259,490",," Left Rear Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",8,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007300222/2005-toyota-alphard-hybrid-mini-bus?referringPage=SearchResults
Holden,Captiva,Yes,"$1,100","125,367",," Glass Broken, Roof Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300228/2014-holden-captiva-ls-2-2d-6at-sw-4dr--station-wagon?referringPage=SearchResults
Toyota,Corolla,Yes,$0,"131,531",," Left Side Damage, Selling Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300230/2012-toyota-corolla-gx-1-8p-hatch-cv-hatch?referringPage=SearchResults
Case,E IH 115 W FEL,No,"$9,200",N/A,0," Fire Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300232/2019-case-e-ih-115-w-fel-tractor?referringPage=SearchResults
Toyota,Estima Hybrid,No,$500,"175,449",," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",7,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007300240/2008-toyota-estima-hybrid-station-wagon?referringPage=SearchResults
Volkswagen,Golf,No,$500,"65,633",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300243/2007-volkswagen-golf-hatch?referringPage=SearchResults
Honda,Jazz,Yes,"$1,400","94,309",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300256/2015-honda-jazz-s-1-3p-cvt-ha-5dr-5-hatch?referringPage=SearchResults
Mazda,Demio,Yes,$0,"104,981",," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300269/2010-mazda-demio-hatch?referringPage=SearchResults
PRESCOTT,Trailer,No,$120,N/A,0," Left Side Damage, Right Side Damage, Structural Damage, Under Body Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300271/2013-prescott-trailer-trailer--box-domestic-?referringPage=SearchResults
TRAILER,Stow Away,No,$240,N/A,0," Left Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300276/2017-trailer-stow-away-trailer?referringPage=SearchResults
Hyundai,IX35,No,"$1,300","182,450",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300285/2013-hyundai-ix35-2-0r-crdi-elite-a6-station-wagon?referringPage=SearchResults
Holden,Crewman,No,$500,"424,910",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300291/2005-holden-crewman-s-v6-dual-cab-utility?referringPage=SearchResults
Suzuki,DR-Z400E,Yes,$0,N/A,," Stolen & Recovered, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300293/2020-suzuki-dr-z400e-motorcycle?referringPage=SearchResults
Nissan,Note,Yes,$650,"156,091",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300297/2016-nissan-note-hatch?referringPage=SearchResults
Toyota,Corolla,Yes,"$1,600","185,634",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300303/2004-toyota-corolla-fielder-station-wagon?referringPage=SearchResults
Honda,Accord,Yes,$500,"252,210",," Front Damage, Dismantled - Engine, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300310/2008-honda-accord-2400-sedan?referringPage=SearchResults
Honda,CBR,Yes,$0,"33,456",," Front Damage, Structural Damage, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300363/2014-honda-cbr-650-motorcycle?referringPage=SearchResults
Nissan,Bluebird,Yes,$0,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300462/2006-nissan-bluebird-sylphy-sedan?referringPage=SearchResults
