Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Nissan,X-trail,Yes,"$1,500","241,896",, Selling Registered,"CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300067/2007-nissan-x-trail-station-wagon?referringPage=SearchResults
Nissan,Qashqai,No,N/A,"55,538",, Selling De-Registered,"6spd CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300101/2024-nissan-qashqai-st-1-3pt-6cvt-station-wagon?referringPage=SearchResults
MG,HS,Yes,"$1,500",N/A,," Front Damage, Selling De-Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300125/2022-mg-hs-2-0pt-4wd-6at-station-wagon?referringPage=SearchResults
Mazda,Axela,Yes,$500,"308,291",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300162/2005-mazda-axela-sedan?referringPage=SearchResults
Ford,Ranger,Yes,N/A,N/A,," Structural Damage, Selling De-Registered","Automatic,",4,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300172/2014-ford-ranger-utility?referringPage=SearchResults
Jeep,Cherokee,No,$0,"275,712",, Selling Registered,"Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300205/2007-jeep-cherokee-limited-diesel-station-wagon?referringPage=SearchResults
Mitsubishi,Triton,No,N/A,"163,148",," Interior Damage, Has Key, Structural Damage, Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007290239/2018-mitsubishi-triton-glx-dual-cab-utility?referringPage=SearchResults
Ssangyong,Korando,Yes,$500,"196,000",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300250/2011-ssangyong-korando-4x2-auto-diesel-station-wagon?referringPage=SearchResults
Nissan,Bluebird,Yes,$100,N/A,," Front Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300263/1997-nissan-bluebird-sel-sedan-vel-2-0-sedan?referringPage=SearchResults
Holden,Crewman,No,$500,"424,910",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300291/2005-holden-crewman-s-v6-dual-cab-utility?referringPage=SearchResults
Nissan,Serena,No,$600,"130,877",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290298/2005-nissan-serena-station-wagon?referringPage=SearchResults
Nissan,Bluebird,Yes,$200,N/A,," Front Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300344/2006-nissan-bluebird-sylphy-sedan?referringPage=SearchResults
CARAVAN,Abbey Spectrum 540,No,$0,1,0," Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007290357/2001-caravan-abbey-spectrum-540-caravan?referringPage=SearchResults
Toyota,Granvia,Yes,$500,"303,499",," Left Rear Damage, Selling Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300444/1997-toyota-granvia-3-0d-station-wagon?referringPage=SearchResults
BMW,320i,Yes,N/A,"213,234",," Malicious/Vandalised, Vandalised - Entire Vehicle, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300568/2013-bmw-320i-touring?referringPage=SearchResults
Mazda,MX5,Yes,"$1,300","164,723",," Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300577/1990-mazda-mx5-coup%C3%A9?referringPage=SearchResults
Honda,Elysion,Yes,"$2,300","364,985",," Right Side Damage, Selling Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310803/2008-honda-elysion-station-wagon?referringPage=SearchResults
Nissan,Tiida,Yes,$500,"206,759",," Ignition Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300850/2005-nissan-tiida-sedan?referringPage=SearchResults
BMW,X1,Yes,$600,"96,414",," Front Damage, Left Front Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300871/2012-bmw-x1-sdrive-18i-touring?referringPage=SearchResults
Suzuki,500,No,$0,"43,933",," Front Damage, Frame Damaged, Structural Damage, Selling De-Registered","Automatic,",N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007270879/2002-suzuki-500-quad-bike?referringPage=SearchResults
Mazda,MAZDA3,Yes,$400,"120,876",," Airbags Deployed, Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300904/2009-mazda-mazda3-sporthatch-glx-2-0-hatch?referringPage=SearchResults
Toyota,Hilux,Yes,N/A,"95,837",," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300933/2019-toyota-hilux-dual-cab-utility?referringPage=SearchResults
Nissan,Cube,Yes,$200,"310,189",," Interior Damage, Ignition Damage, Malicious/Vandalised, Selling Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301006/2004-nissan-cube-hatch?referringPage=SearchResults
Harley-Davidson,Softail,Yes,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301008/2018-harley-davidson-softail-18-fat-bob-s-motorcycle?referringPage=SearchResults
Volkswagen,Polo,Yes,$200,"139,890",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007301107/2007-volkswagen-polo-1-4-tdi-bluemotion-hatch?referringPage=SearchResults
Mitsubishi,Outlander,No,N/A,"41,739",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007281130/2023-mitsubishi-outlander-ls-phev-4wd-at-station-wagon?referringPage=SearchResults
Hyundai,I30,Yes,"$3,200","63,797",," Front Damage, Left Side Damage, Right Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311155/2015-hyundai-i30-gd2-0elite-2-0p6a-h-hatch?referringPage=SearchResults
Mazda,CX-5,Yes,"$1,500","173,496",," Engine Damage, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007291283/2013-mazda-cx-5-cx-5-4wd-gsx-2-2-ds-station-wagon?referringPage=SearchResults
MINI,Cooper,No,$500,"158,096",," Front Damage, Interior Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007291293/2006-mini-cooper-cabriolet?referringPage=SearchResults
Mercedes-Benz,GLC,No,N/A,"57,854",," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007291310/2017-mercedes-benz-glc-250-d-coupe-2-1d-4w-station-wagon?referringPage=SearchResults
Harley-Davidson,Vrscf,Yes,$0,"11,830",, Selling Registered,"6spd Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281313/2013-harley-davidson-vrscf-muscle-v-rod-motorcycle?referringPage=SearchResults
Volkswagen,Tiguan,Yes,$500,"173,614",," Left Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301338/2009-volkswagen-tiguan-station-wagon?referringPage=SearchResults
Toyota,Prius,No,$400,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007291365/2012-toyota-prius-hatch?referringPage=SearchResults
Toyota,Corolla,Yes,N/A,"158,005",," Stolen & Recovered, Selling Registered","7spd CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281494/2016-toyota-corolla-glx-1-8p-cvt-ha-4dr-5d-hatch?referringPage=SearchResults
Nissan,Navara,Yes,$800,"192,103",," Chassis Damage, Glass Broken, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007301526/2008-nissan-navara-utility?referringPage=SearchResults
Nissan,March,Yes,$500,"196,025",," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301542/2005-nissan-march-hatch?referringPage=SearchResults
Nissan,Tiida,Yes,$500,"142,278",," Left Rear Damage, Left Side Damage, Rear Damage, Right Rear Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301568/2004-nissan-tiida-hatch?referringPage=SearchResults
Nissan,X-trail,No,$400,"146,418",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007271570/2007-nissan-x-trail-awd-station-wagon?referringPage=SearchResults
