Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,RAV4,2022,Yes,N/A,"58,161",," Stolen & Recovered, Selling Registered","8spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007380064/2022-toyota-rav4-gxl-2-5p-4wd-8at-station-wagon?referringPage=SearchResults
KTM,390,2021,Yes,$0,"10,383",," Stolen & Recovered, Selling Registered",N/A,N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410100/2021-ktm-390-duke-399p-motorcycle?referringPage=SearchResults
Mitsubishi,Outlander,2023,No,N/A,"62,624",," Water Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007390208/2023-mitsubishi-outlander-ls-phev-4wd-at-station-wagon?referringPage=SearchResults
FACTORY BUILT,NZ Trailers,2008,No,"$1,600",N/A,0," Roof Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007420373/2008-factory-built-nz-trailers-float--horse-?referringPage=SearchResults
HOMEMADE,N/A,2000,No,"$4,000",N/A,0," Chassis Damage, Frame Damaged, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007410481/2000-homemade-transporter-trailer?referringPage=SearchResults
Mazda,Axela,2011,No,$700,N/A,," Left Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410494/2011-mazda-axela-hatch?referringPage=SearchResults
Holden,Captiva,2014,No,$0,"190,454",," Right Rear Damage, Right Side Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007390491/2014-holden-captiva-ltz-2-2d-4wd-6at-sw-station-wagon?referringPage=SearchResults
Holden,Captiva,2008,No,$0,N/A,," Left Rear Damage, Dismantled - Engine, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007390495/2008-holden-captiva-lx-3-2l-v6-auto-station-wagon?referringPage=SearchResults
Toyota,Hilux,2012,No,N/A,"187,306",," Front Damage, Left Rear Damage, Left Side Damage, Roof Damage, Rolled, Right Side Damage, Structural Damage, Selling De-Registered","5spd Manual,",5,N/A,https://manheim.co.nz/damaged-vehicles/000000000007400517/2012-toyota-hilux-2wd-3-0td-dc-ute-5m-dual-cab-utility?referringPage=SearchResults
Holden,Cruze,2015,No,$0,"17,067",," Left Front Damage, Left Side Damage, Roof Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410551/2015-holden-cruze-equipe-1-8p-6at-ha--hatch?referringPage=SearchResults
Ford,KA,2000,No,$0,N/A,," Left Rear Damage, Right Rear Damage, Right Side Damage, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410562/2000-ford-ka-1-3-3-dr-m-hatch?referringPage=SearchResults
Ford,Territory,2009,No,$0,N/A,," Left Front Damage, Left Side Damage, Right Side Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007410581/2009-ford-territory-territory-ghia-awd-station-wagon?referringPage=SearchResults
Nissan,Sylphy,2013,No,$700,N/A,," Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420644/2013-nissan-sylphy-sedan?referringPage=SearchResults
Toyota,Aurion,2007,No,"$1,300",N/A,," Left Front Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420658/2007-toyota-aurion-3-5p-sportivo-sx6-6-sedan?referringPage=SearchResults
BRIFORD,Single Axel,N/A,No,"$1,000",N/A,N/A, Selling De-Registered,N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007410725/briford-single-axel-trailer?referringPage=SearchResults
