Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Subaru,Impreza,No,$800,,," Front Damage, Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310012/2007-subaru-impreza-station-wagon?referringPage=SearchResults
Ford,Ranger,No,,,," Rolled, Dismantled - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300124/2023-ford-ranger-xlt-double-cab-w-sa-utility?referringPage=SearchResults
MG,HS,No,,,," Front Damage, Selling De-Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300125/2022-mg-hs-2-0pt-4wd-6at-station-wagon?referringPage=SearchResults
Yamaha,MT10ASP,No,$0,,," Structural Damage, Selling De-Registered","Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310169/2023-yamaha-mt10asp-p-motorcycle?referringPage=SearchResults
Toyota,Corolla,No,,,," Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310172/2015-toyota-corolla-fielder-hatch?referringPage=SearchResults
Volkswagen,Golf,No,$0,,," Left Front Damage, Left Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310232/2007-volkswagen-golf-gti-hatch?referringPage=SearchResults
Holden,Equinox,No,$0,"175,730",," Left Front Damage, Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007310235/2018-holden-equinox-ltz-1-6dt-4wd-6at-1-station-wagon?referringPage=SearchResults
KUHN GMD,355-ff HAY Mower,No,$0,,0.0," Structural Damage, Selling De-Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007320274/2019-kuhn-gmd-355-ff-hay-mower-mower?referringPage=SearchResults
Toyota,Harrier,No,$0,,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310289/1998-toyota-harrier-station-wagon?referringPage=SearchResults
Suzuki,Swift,No,"$2,300","31,670",," Left Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","CVT,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300329/2022-suzuki-swift-gl-1-2p-cvt-hatch?referringPage=SearchResults
Hyundai,TB,No,$0,"155,996",," Front Damage, Structural Damage, Selling De-Registered","4spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320349/2005-hyundai-tb-gl-hatch?referringPage=SearchResults
Toyota,Corolla,No,$0,"205,983",," Airbags Deployed, Front Damage, Structural Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310378/2003-toyota-corolla-runx-hatch?referringPage=SearchResults
Ford,Courier,Yes,$0,"385,765",," Right Side Damage, Selling Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300397/2004-ford-courier-xlx-2-5td-crew-4x4-utility?referringPage=SearchResults
Jeep,Cherokee,No,$0,"139,021",," Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300417/2009-jeep-cherokee-kk-ltd-3-7l-petrol-station-wagon?referringPage=SearchResults
Lexus,Is-f,No,,,," Engine Damage, Water Damage, Selling De-Registered","8spd Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310428/2008-lexus-is-f-5-0p-sedan-4-8a-sedan?referringPage=SearchResults
Honda,fit,No,$600,"113,867",," Front Damage, Structural Damage, Selling De-Registered","4spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300477/2007-honda-fit-hatch?referringPage=SearchResults
Daihatsu,Sirion,No,$0,"122,222",," Left Side Damage, Structural Damage, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300516/2012-daihatsu-sirion-1-3p-hatch-4a-hatch?referringPage=SearchResults
Nissan,Skyline,Yes,$0,1,, Selling Registered,"Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300545/2007-nissan-skyline-sedan?referringPage=SearchResults
CAMPERVAN,Trailer,Yes,"$8,000",,0.0," Interior Damage, Water Damage, Selling Registered",,,,https://manheim.co.nz/damaged-vehicles/000000000007320579/2015-campervan-trailer-caravan?referringPage=SearchResults
BMW,335i,No,$0,"133,882",," Dismantled - Engine, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320582/2008-bmw-335i-sedan?referringPage=SearchResults
Toyota,Markx,No,$0,"242,956",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300595/2010-toyota-markx-zio-station-wagon?referringPage=SearchResults
Toyota,Camry,No,,"69,450",," Front Damage, Structural Damage, Selling De-Registered","8spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310603/2021-toyota-camry-gx-2-5p-8at-sedan?referringPage=SearchResults
Mazda,Demio,No,$0,"98,294",," Chassis Damage, Front Damage, Structural Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320612/2011-mazda-demio-hatch?referringPage=SearchResults
ELDDIS,Avante 524,No,"$3,200",,0.0," Hail Dmg, Roof Damage",,,,https://manheim.co.nz/damaged-vehicles/000000000007320631/2004-elddis-avante-524-caravan?referringPage=SearchResults
Honda,Stream,Yes,$675,1,," Right Side Damage, Stolen & Recovered, Selling Registered","5spd,",7.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320651/honda-stream-rsz-multi-purpose-vehicle?referringPage=SearchResults
Ford,Ranger,No,,,," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007290657/2024-ford-ranger-xlt-double-cab-w-sa-dual-cab-utility?referringPage=SearchResults
Toyota,Corona L/B Auto,Yes,$600,"310,808",," Glass Broken, Ignition Damage, Left Rear Damage, Left Side Damage, Selling Registered","5spd Automatic,",,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320664/1994-toyota-corona-l-b-auto-hatch?referringPage=SearchResults
Suzuki,Vitara,No,$0,"80,542",," Airbags Deployed, Front Damage, Left Side Damage, Rear Damage, Roof Damage, Right Side Damage, Structural Damage, Selling De-Registered","6spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320685/2017-suzuki-vitara-turbo-1-4pt-4wd-6at-station-wagon?referringPage=SearchResults
BMW,320i,No,$0,"180,558",," Right Rear Damage, Structural Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320691/2003-bmw-320i-sedan?referringPage=SearchResults
Mercedes-Benz,S 500,No,$0,,," Fire Damage, Fire Damage Engine, Glass Broken, Interior Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310721/2012-mercedes-benz-s-500-sedan?referringPage=SearchResults
Suzuki,Swift,Yes,$0,"52,903",," Hail Dmg, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310726/2012-suzuki-swift-glxa-1-4-5dr-hatch?referringPage=SearchResults
Mazda,Axela,No,,"102,435",, Selling De-Registered,,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310737/2014-mazda-axela-hatch?referringPage=SearchResults
Suzuki,SX4,Yes,$0,"96,848",," Front Damage, Left Front Damage, Right Front Damage, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310756/2007-suzuki-sx4-hatch?referringPage=SearchResults
Toyota,Aqua,No,$0,,," Right Rear Damage, Structural Damage, Selling De-Registered",,5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007310759/2013-toyota-aqua-hatch?referringPage=SearchResults
Mazda,Atenza,No,$0,"287,293",," Engine Damage, Structural Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320758/2007-mazda-atenza-station-wagon?referringPage=SearchResults
Mazda,Atenza,No,"$1,300",,," Left Rear Damage, Structural Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310774/2015-mazda-atenza-sedan?referringPage=SearchResults
Holden,Commodore,No,,"204,414",," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310776/2017-holden-commodore-vf2-evoke-3-0p-6at-sedan?referringPage=SearchResults
Mazda,MPV,No,$650,"247,972",," Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310779/2012-mazda-mpv-station-wagon?referringPage=SearchResults
Honda,Elysion,Yes,"$1,250","364,985",," Right Side Damage, Selling Registered","Automatic,",8.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310803/2008-honda-elysion-station-wagon?referringPage=SearchResults
Mazda,Demio,Yes,$0,,," Left Front Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300828/2009-mazda-demio-hatch?referringPage=SearchResults
Honda,fit,No,$0,"92,962",," Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007310833/2012-honda-fit-hatch?referringPage=SearchResults
Nissan,Pulsar,No,$700,"138,250",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310856/2015-nissan-pulsar-st-hatch?referringPage=SearchResults
Toyota,Hilux,No,"$1,450","320,623",," Left Front Damage, Left Side Damage, Roof Damage, Rolled, Right Side Damage, Underbody Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007310887/1996-toyota-hilux-surf-station-wagon?referringPage=SearchResults
Nissan,X-trail,No,$550,,," Glass Broken, Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310919/2009-nissan-x-trail-station-wagon?referringPage=SearchResults
Mazda,Atenza,No,$0,"250,906",," Left Front Damage, Under Body Damage, Selling De-Registered",,5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300949/2003-mazda-atenza-station-wagon?referringPage=SearchResults
Ford,Falcon,No,$0,"256,829",," Front Damage, Structural Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320961/1999-ford-falcon-au-falcon-s-sedan?referringPage=SearchResults
Toyota,Camry,No,$0,"169,192",," Front Damage, Left Side Damage, Rear Damage, Structural Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320963/2004-toyota-camry-touring-sedan?referringPage=SearchResults
Suzuki,Swift,No,$0,"99,612",," Engine Damage, Structural Damage, Under Body Damage, Selling De-Registered","5spd,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320965/2008-suzuki-swift-hatch?referringPage=SearchResults
Mazda,Demio,No,$0,"76,114",," Front Damage, Glass Broken, Ignition Damage, Left Side Damage, Right Rear Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","4spd Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007320968/2000-mazda-demio-hatchback-5dr-1-5-a-hatch?referringPage=SearchResults
Ford,Ranger,No,,"110,000",," Front Damage, Structural Damage, Selling De-Registered",,5.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300978/2019-ford-ranger-wildtrak-dual-cab-utility?referringPage=SearchResults
Mercedes-Benz,CLK,No,$0,,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",4.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311018/2002-mercedes-benz-clk-5-0p5spa2drcpe-av-sedan?referringPage=SearchResults
Peugeot,Partner,No,,"5,168",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic, Drive Type, Front Wheel Drive, Fuel Type, Electri",3.0,Electric,https://manheim.co.nz/damaged-vehicles/000000000007291028/2023-peugeot-partner-swb-electric-50kwh-van?referringPage=SearchResults
Isuzu,Mu-x,No,,"108,607",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",7.0,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007301037/2014-isuzu-mu-x-ls-m-station-wagon?referringPage=SearchResults
Nissan,Murano,No,$725,"183,661",," Interior Damage, Left Side Damage, Structural Damage, Water Damage, Selling De-Registered","Automatic,",5.0,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311041/2007-nissan-murano-station-wagon?referringPage=SearchResults
