Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Mercedes-Benz,A180,No,N/A,"59,094",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190077/2013-mercedes-benz-a180-5d-hatch?referringPage=SearchResults
Toyota,Markx,Yes,$950,"163,019",," Has Key, Left Rear Damage, Not Driveable, Right Front Damage, Right Rear Damage, Right Side Damage, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007180104/2009-toyota-markx-250g-sedan?referringPage=SearchResults
Holden,Captiva,No,N/A,"79,918",," Drives, Has Key, Selling Registered",N/A,7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007180121/2017-holden-captiva-ls-2-4p-6at-sw-4dr--5d-station-wagon?referringPage=SearchResults
Toyota,Camry,No,N/A,N/A,1," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007190281/2012-toyota-camry-sedan?referringPage=SearchResults
Honda,Vezel,Yes,N/A,N/A,," Not Driveable, No Keys, Selling Registered",N/A,5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007180513/2015-honda-vezel-hybrid-station-wagon?referringPage=SearchResults
Mercedes-Benz,ML,No,N/A,"186,238",," Drives, Has Key, Selling Registered",N/A,5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007180557/2012-mercedes-benz-ml-250-blue-tec-5d-station-wagon?referringPage=SearchResults
Toyota,Dyna,No,$960,N/A,1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",6,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007170638/2017-toyota-dyna-4x2-double-cab-flat-deck?referringPage=SearchResults
Toyota,Yaris,No,$800,"162,824",0," Glass Broken, Rear Damage, Underbody Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007180646/2015-toyota-yaris-sx-hatch?referringPage=SearchResults
Mercedes-Benz,C300,No,"$1,300","101,245",1," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190776/2007-mercedes-benz-c300-sedan?referringPage=SearchResults
Mazda,CX-5,No,N/A,"20,181",, Selling De-Registered,N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210791/2024-mazda-cx-5-gsx-ptr-2-5p-4wd-6a-station-wagon?referringPage=SearchResults
Nissan,Juke,Yes,$750,"81,905",1," Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190823/2016-nissan-juke-hatch?referringPage=SearchResults
Toyota,Wish,No,N/A,"120,715",," Drives, Has Key, Selling Registered","5spd CVT,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007171036/2005-toyota-wish-5d-station-wagon?referringPage=SearchResults
Nissan,Fuga,No,N/A,"168,976",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181040/2007-nissan-fuga-4d-sedan?referringPage=SearchResults
Holden,Trax,Yes,"$1,500",N/A,," Not Driveable, No Keys, Selling Registered","6spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181051/2014-holden-trax-ls-1-8p6a-ha5d5s-hatch?referringPage=SearchResults
KTM,390,No,$500,N/A,0," Frame Damaged, Vandalised - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181054/2024-ktm-390-duke-motorcycle?referringPage=SearchResults
Kia,Sportage,No,N/A,"126,986",0," Front Damage, Structural Damage, Selling De-Registered","5spd Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007181080/2016-kia-sportage-lx-2-0d-4wd-6at-sw--station-wagon?referringPage=SearchResults
Toyota,Aurion,Yes,"$1,650","236,128",1," Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181159/2008-toyota-aurion-3-5p-touring-sdn-6a-sedan?referringPage=SearchResults
BMW,320i,Yes,N/A,N/A,," No Keys, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007171230/2012-bmw-320i-touring?referringPage=SearchResults
Ford,Ecosport,No,N/A,"74,511",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181342/2015-ford-ecosport-titanium-1-5p-6at-s-5d-station-wagon?referringPage=SearchResults
Toyota,Aqua,No,$950,"260,643",1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007201354/2014-toyota-aqua-hatch?referringPage=SearchResults
KTM,390,Yes,"$1,300",N/A,1, Selling Registered,"Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007201356/2021-ktm-390-adventure-motorcycle?referringPage=SearchResults
Nissan,X-trail,No,N/A,N/A,1," Left Side Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007201364/2015-nissan-x-trail-st-2-5p-6cvt-sw-5dr-station-wagon?referringPage=SearchResults
