Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Auris,Yes,"$1,050",N/A,," Interior Damage, Water Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310011/2006-toyota-auris-hatch?referringPage=SearchResults
Subaru,Impreza,Yes,$0,N/A,," Front Damage, Ignition Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310012/2007-subaru-impreza-station-wagon?referringPage=SearchResults
Honda,fit,Yes,$500,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310017/2006-honda-fit-hatch?referringPage=SearchResults
Nissan,X-trail,Yes,"$1,500","241,896",, Selling Registered,"CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300067/2007-nissan-x-trail-station-wagon?referringPage=SearchResults
Suzuki,Grand Vitara,Yes,$650,"140,734",," Left Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300091/2008-suzuki-grand-vitara-wjlxa2-3-2-5dr-station-wagon?referringPage=SearchResults
Volvo,S40,Yes,$500,"129,709",," Front Damage, Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310106/2011-volvo-s40-sedan?referringPage=SearchResults
Mazda,Demio,Yes,$0,"210,735",," Glass Broken, Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310110/2009-mazda-demio-hatch?referringPage=SearchResults
Nissan,Latio,No,$650,"117,860",, Selling De-Registered,N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300156/2013-nissan-latio-sedan?referringPage=SearchResults
Mazda,Axela,Yes,$500,"308,291",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300162/2005-mazda-axela-sedan?referringPage=SearchResults
Hyundai,145,Yes,$0,"134,416",," Left Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310161/2011-hyundai-145-sedan?referringPage=SearchResults
Triumph,Scrambler 1200,Yes,$0,N/A,," Front Damage, Left Side Damage, Selling Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310179/2020-triumph-scrambler-1200-motorcycle?referringPage=SearchResults
Jeep,Cherokee,No,$0,"275,712",, Selling Registered,"Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300205/2007-jeep-cherokee-limited-diesel-station-wagon?referringPage=SearchResults
Toyota,Surf,Yes,"$2,300","318,113",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300351/2001-toyota-surf-hilux-station-wagon?referringPage=SearchResults
CARAVAN,Abbey Spectrum 540,No,$0,1,0," Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007290357/2001-caravan-abbey-spectrum-540-caravan?referringPage=SearchResults
Toyota,Granvia,Yes,"$1,750","303,499",," Left Rear Damage, Selling Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300444/1997-toyota-granvia-3-0d-station-wagon?referringPage=SearchResults
Toyota,Vitz,Yes,$0,"273,675",," Front Damage, Selling Registered","5spd,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300539/2007-toyota-vitz-hatch?referringPage=SearchResults
BMW,320i,Yes,N/A,"213,234",," Malicious/Vandalised, Vandalised - Entire Vehicle, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300568/2013-bmw-320i-touring?referringPage=SearchResults
Mazda,MX5,Yes,"$3,450","164,723",," Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300577/1990-mazda-mx5-coup%C3%A9?referringPage=SearchResults
Toyota,RAV4,Yes,$0,"219,702",," Left Front Damage, Selling Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310717/2000-toyota-rav4-station-wagon?referringPage=SearchResults
Volkswagen,Golf,Yes,$0,"148,943",," Left Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310722/2011-volkswagen-golf-station-wagon?referringPage=SearchResults
Mustang,2800 Sports Cruiser,No,$0,N/A,0," Water Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007290724/2007-mustang-2800-sports-cruiser-7290724-boat---trailer?referringPage=SearchResults
Nissan,Tiida,Yes,$200,"236,929",," Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310732/2009-nissan-tiida-latio-sedan?referringPage=SearchResults
Honda,Elysion,Yes,"$2,300","364,985",," Right Side Damage, Selling Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310803/2008-honda-elysion-station-wagon?referringPage=SearchResults
Suzuki,Swift,No,$500,"116,977",," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007290823/2010-suzuki-swift-glxa-1-5-5dr-hatch?referringPage=SearchResults
Toyota,Prius,Yes,"$1,250",N/A,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007310848/2008-toyota-prius-sedan?referringPage=SearchResults
Nissan,Tiida,Yes,$500,"206,759",," Ignition Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300850/2005-nissan-tiida-sedan?referringPage=SearchResults
Ford,Focus,Yes,$500,"122,776",," Front Damage, Light Dmg, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300853/2004-ford-focus-zetec-hatch-a-hatch?referringPage=SearchResults
Suzuki,500,No,$0,"43,933",," Front Damage, Frame Damaged, Structural Damage, Selling De-Registered","Automatic,",N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007270879/2002-suzuki-500-quad-bike?referringPage=SearchResults
Mazda,CX-7,Yes,$550,N/A,," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310911/2010-mazda-cx-7-2wd-gsx-2-5-5at-station-wagon?referringPage=SearchResults
Volkswagen,Jetta,Yes,$0,"80,994",," Hail Dmg, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007310930/2007-volkswagen-jetta-sedan?referringPage=SearchResults
Toyota,86,Yes,"$1,600",N/A,," Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301002/2012-toyota-86-coup%C3%A9?referringPage=SearchResults
Nissan,Cube,Yes,$700,"310,189",," Interior Damage, Ignition Damage, Malicious/Vandalised, Selling Registered","5spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301006/2004-nissan-cube-hatch?referringPage=SearchResults
Harley-Davidson,Softail,Yes,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301008/2018-harley-davidson-softail-18-fat-bob-s-motorcycle?referringPage=SearchResults
Ford,Mondeo,Yes,$0,"169,611",," Hail Dmg, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311050/2013-ford-mondeo-hatch?referringPage=SearchResults
Hyundai,I30,Yes,"$3,200","63,797",," Front Damage, Left Side Damage, Right Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311155/2015-hyundai-i30-gd2-0elite-2-0p6a-h-hatch?referringPage=SearchResults
Nissan,Tino,Yes,$0,"178,735",," Right Front Damage, Selling Registered",N/A,6,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311241/1999-nissan-tino-hatch?referringPage=SearchResults
Toyota,Corolla,Yes,"$1,700",N/A,," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007311250/2014-toyota-corolla-axio-sedan?referringPage=SearchResults
BYD,Dolphin,No,"$2,300",1,," Front Damage, Left Side Damage, Rear Damage, Right Side Damage, Airbags Deployed, Structural Damage, Suspension Damage, Selling De-Registered","Automatic, Fuel Type, Electri",5,Electric,https://manheim.co.nz/damaged-vehicles/000000000007281262/2025-byd-dolphin-standard-range-45kw-hatch?referringPage=SearchResults
Mazda,CX-5,Yes,"$1,500","173,496",," Engine Damage, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007291283/2013-mazda-cx-5-cx-5-4wd-gsx-2-2-ds-station-wagon?referringPage=SearchResults
MINI,Cooper,No,$500,"158,096",," Front Damage, Interior Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007291293/2006-mini-cooper-cabriolet?referringPage=SearchResults
Harley-Davidson,Vrscf,Yes,$0,"11,830",, Selling Registered,"6spd Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007281313/2013-harley-davidson-vrscf-muscle-v-rod-motorcycle?referringPage=SearchResults
BMW,320i,Yes,$600,"92,656",," Left Rear Damage, Left Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311427/2010-bmw-320i-sedan?referringPage=SearchResults
Nissan,Tiida,Yes,$0,N/A,," Interior Damage, Right Rear Damage, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311471/2006-nissan-tiida-station-wagon?referringPage=SearchResults
Toyota,Alphard,Yes,$600,N/A,," Left Side Damage, Structural Damage, Selling De-Registered",N/A,8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311479/2004-toyota-alphard-station-wagon?referringPage=SearchResults
Toyota,Vitz,Yes,$500,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311496/1999-toyota-vitz-fd-pak-hatch?referringPage=SearchResults
Volkswagen,Golf,Yes,$600,N/A,," Airbags Deployed, Front Damage, Glass Broken, Left Side Damage, Rear Damage, Roof Damage, Rolled, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311497/2007-volkswagen-golf-station-wagon?referringPage=SearchResults
Suzuki,Vitara,Yes,$400,N/A,," Roof Damage, Right Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311523/2021-suzuki-vitara-station-wagon?referringPage=SearchResults
Mazda,Verisa,Yes,$500,"227,250",," Glass Broken, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311528/2005-mazda-verisa-hatch?referringPage=SearchResults
Mitsubishi,RVR,Yes,$1,N/A,," Fire - Entire Vehicle, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007301555/1999-mitsubishi-rvr-sports-gear-station-wagon?referringPage=SearchResults
Mazda,Axela,Yes,$500,N/A,," Glass Broken, Interior Damage, Malicious/Vandalised, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311581/2011-mazda-axela-sedan?referringPage=SearchResults
Toyota,Blade,Yes,$550,"242,978",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311584/2008-toyota-blade-hatch?referringPage=SearchResults
Nissan,Leaf,No,$600,"147,140",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic, Fuel Type, Electri",5,Electric,https://manheim.co.nz/damaged-vehicles/000000000007271586/2014-nissan-leaf-zero-emission-hatch?referringPage=SearchResults
ACE,Jubilee Envoy,No,"$1,600",N/A,3," Front Damage, Rear Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007301602/2006-ace-jubilee-envoy-caravan?referringPage=SearchResults
Mitsubishi,ASX,Yes,"$1,600","78,515",," Right Side Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311642/2017-mitsubishi-asx-xls-2-0p-cvt-station-wagon?referringPage=SearchResults
Honda,Honda,Yes,"$1,000",N/A,," Left Front Damage, Selling Registered","7spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007311655/2015-honda-honda-grace-sedan?referringPage=SearchResults
