Manufacturer,Model,Year,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Volvo,S60,2011,No,$0,N/A,," Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440032/2011-volvo-s60-1-6l-petrol-sedan?referringPage=SearchResults
Honda,CMX,2021,No,$0,1,," Front Damage, Interior Damage, Frame Damaged, Right Front Damage, Right Rear Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300139/2021-honda-cmx-500-p-motorcycle?referringPage=SearchResults
Nissan,Murano,2004,No,$0,"195,422",," Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440164/2004-nissan-murano-station-wagon?referringPage=SearchResults
Toyota,Hilux,2010,No,N/A,"371,103",," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered",N/A,5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440165/2010-toyota-hilux-3-0td-4wd-dc-5m-utility?referringPage=SearchResults
Toyota,Corolla 1.6P GX Sedan 4A,1997,No,$0,"206,751",," Left Side Damage, Rear Damage, Right Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440166/1997-toyota-corolla-1-6p-gx-sedan-4a-sedan?referringPage=SearchResults
Haval,H6,2022,No,$0,"79,340",," Chassis Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440168/2022-haval-h6-lux-2wd-2-0pt-station-wagon?referringPage=SearchResults
Toyota,Passo,2006,No,$0,N/A,," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440181/2006-toyota-passo-hatch?referringPage=SearchResults
Volkswagen,Golf,2016,No,$0,"103,148",," Airbags Deployed, Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440182/2016-volkswagen-golf-alltrack-station-wagon?referringPage=SearchResults
Mitsubishi,ASX,2013,No,$0,"64,319",," Fire Damage, Fire - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440184/2013-mitsubishi-asx-2wd-2-0p-cvt-ls-station-wagon?referringPage=SearchResults
Toyota,Prius,2014,No,$0,N/A,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007440185/2014-toyota-prius-hatch?referringPage=SearchResults
Mercedes-Benz,Gle-class Coupe,2015,No,N/A,"171,853",," Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440188/2015-mercedes-benz-gle-class-coupe-gle-450-amg-coupe-3-hatch?referringPage=SearchResults
Mazda,Atenza,2011,No,$0,"217,901",," Left Side Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440197/2011-mazda-atenza-sedan?referringPage=SearchResults
Toyota,Wish,2006,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440232/2006-toyota-wish-1-8l-station-wagon?referringPage=SearchResults
Volkswagen,Passat,2007,No,$0,N/A,," Front Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440238/2007-volkswagen-passat-3-2v6-4m-dsg-varian-station-wagon?referringPage=SearchResults
Toyota,Ractis,2006,No,$0,"111,448",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440242/2006-toyota-ractis-hatch?referringPage=SearchResults
Toyota,Yaris,2015,No,$0,"93,292",," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440255/2015-toyota-yaris-gx-1-3p-4at-ha-5dr--hatch?referringPage=SearchResults
Toyota,Vanguard,2011,No,$0,N/A,," Front Damage, Glass Broken, Interior Damage, Right Rear Damage, Right Side Damage, Structural Damage, Stolen & Recovered, Water Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440261/2011-toyota-vanguard-station-wagon?referringPage=SearchResults
Toyota,Premio,2004,No,$0,"235,976",," Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440263/2004-toyota-premio-sedan?referringPage=SearchResults
Toyota,Wish,2012,No,$0,"154,002",," Front Damage, Left Side Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440265/2012-toyota-wish-station-wagon?referringPage=SearchResults
Toyota,Corolla,1998,No,$0,"265,705",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440268/1998-toyota-corolla-1-6p-gs-5door-4a-hatch?referringPage=SearchResults
Toyota,Fielder,2007,No,$0,"339,294",," Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440269/2007-toyota-fielder-g-edition-station-wagon?referringPage=SearchResults
Suzuki,UK,2018,Yes,$0,"13,975",," Left Side Damage, Selling Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440312/2018-suzuki-uk-110ne-address-scooter?referringPage=SearchResults
Ssangyong,Tivoli,2016,No,$0,"159,845",," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440314/2016-ssangyong-tivoli-sports-auto-1-6p-6a-station-wagon?referringPage=SearchResults
Toyota,Hiace,1995,No,$0,"320,754",," Left Rear Damage, Left Side Damage, Structural Damage, Selling De-Registered","5spd Manual,",2,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440320/1995-toyota-hiace-supercustom-van?referringPage=SearchResults
Toyota,RAV4,2007,No,$0,"155,498",," Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440354/2007-toyota-rav4-station-wagon?referringPage=SearchResults
Toyota,Vitz,2012,No,$0,"190,880",," Glass Broken, Ignition Damage, Left Front Damage, Right Front Damage, Vandalised - Interior, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440356/2012-toyota-vitz-hatch?referringPage=SearchResults
Toyota,Landcruiser,1996,No,$0,"284,806",," Engine Damage, Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440383/1996-toyota-landcruiser-vx-station-wagon?referringPage=SearchResults
Mercedes-Benz,SLK,2000,No,$0,"221,005",," Front Damage, Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",2,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440385/2000-mercedes-benz-slk-320-cabriolet?referringPage=SearchResults
Toyota,Ractis,2012,Yes,$0,"108,299",," Front Damage, Left Front Damage, Left Side Damage, Right Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440386/2012-toyota-ractis-hatch?referringPage=SearchResults
Volkswagen,Polo,2013,No,$0,N/A,," Right Front Damage, Right Rear Damage, Structural Damage, Water Damage, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440387/2013-volkswagen-polo-hatch?referringPage=SearchResults
Nissan,Skyline,2012,No,$0,"170,865",," Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440388/2012-nissan-skyline-sedan?referringPage=SearchResults
Nissan,Tiida,2007,Yes,$0,N/A,," Interior Damage, Ignition Damage, Left Side Damage, Right Side Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440389/2007-nissan-tiida-latio-hatch?referringPage=SearchResults
Ford,Focus,2006,No,$0,"127,234",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440428/2006-ford-focus-hatch?referringPage=SearchResults
Kawasaki,Ninja 500,2026,No,$0,779,," Left Side Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440458/2026-kawasaki-ninja-500-ex-451p-motorcycle?referringPage=SearchResults
Holden,Colorado,2015,No,$0,N/A,," Fire Damage, Fire - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440461/2015-holden-colorado-lt-dc-pu-2-8d-4wd-6-utility?referringPage=SearchResults
Subaru,Outback 3.6R Premium Station,2009,Yes,$0,N/A,," Interior Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440470/2009-subaru-outback-3-6r-premium-station-station-wagon?referringPage=SearchResults
Nissan,Navara,2010,No,$0,"262,814",," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007440475/2010-nissan-navara-d-c-2-5d-2wd-rx-mt-dual-cab-utility?referringPage=SearchResults
Mitsubishi,Pajero,2008,No,$0,N/A,," Fire - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440476/2008-mitsubishi-pajero-3000-station-wagon?referringPage=SearchResults
Subaru,Legacy,2005,No,$0,"169,775",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440478/2005-subaru-legacy-station-wagon?referringPage=SearchResults
BMW,R1200,2011,No,$0,"94,907",," Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440483/2011-bmw-r1200-adventurer-motorcycle?referringPage=SearchResults
Toyota,Prius,2014,No,$0,"184,377",," Left Front Damage, Right Rear Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","4spd Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007440490/2014-toyota-prius-hybrid-hatch?referringPage=SearchResults
Audi,A3,2022,No,N/A,"48,913",, Selling De-Registered,"7spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007420500/2022-audi-a3-sedan?referringPage=SearchResults
Vespa,Primavera,2018,Yes,$0,"8,400",, Selling Registered,"Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007430526/2018-vespa-primavera-150-iget-scooter?referringPage=SearchResults
Suzuki,Ignis,2002,No,$0,N/A,," Fire Damage, Fire - Entire Vehicle, Structural Damage, Selling De-Registered","4spd Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440522/2002-suzuki-ignis-hatch-1-3-5dr-hatch?referringPage=SearchResults
Toyota,Avensis,2006,No,$0,N/A,," Fire Damage, Left Rear Damage, Right Rear Damage, Fire - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440531/2006-toyota-avensis-sedan?referringPage=SearchResults
Nissan,March,2003,No,$0,"173,917",," Left Front Damage, Rear Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440539/2003-nissan-march-hatch?referringPage=SearchResults
Subaru,Impreza,2008,No,$0,"182,277",," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007440540/2008-subaru-impreza-station-wagon?referringPage=SearchResults
