Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Jeep,Grand Cherokee,No,$0,N/A,0," Fire - Entire Vehicle, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240008/2014-jeep-grand-cherokee-srt8-6-4p4wd8a-sw5d-station-wagon?referringPage=SearchResults
Toyota,Hiace,No,N/A,N/A,0," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",3,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190067/2008-toyota-hiace-2-7p-zl-van-4a-3sea-campervan?referringPage=SearchResults
Toyota,Aqua,No,$800,N/A,1," Left Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007240076/2012-toyota-aqua-hatch?referringPage=SearchResults
Mazda,Axela,Yes,"$2,700","147,859",1," Left Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240110/2006-mazda-axela-hatch?referringPage=SearchResults
Nissan,X-trail,No,N/A,"18,475",," Drives, Has Key, Selling Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190114/2024-nissan-x-trail-st-2-5p-cvt-5d-station-wagon?referringPage=SearchResults
BMW,118i,Yes,$900,"203,406",1," Left Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240242/2005-bmw-118i-118i-5-door-a-e87-sedan?referringPage=SearchResults
Holden,Astra,Yes,$300,"368,188",2," Glass Broken, Ignition Damage, Left Side Damage, Malicious/Vandalised, Right Side Damage, Vandalised - Interior, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007220257/2007-holden-astra-cd-5-door-hatch-aut-hatch?referringPage=SearchResults
Nissan,Tiida,Yes,$500,"226,943",1," Ignition Damage, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240262/2007-nissan-tiida-latio-sedan?referringPage=SearchResults
Mazda,MPV,No,$0,"278,928",," Right Side Damage, Selling De-Registered","Automatic,",8,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240276/2006-mazda-mpv-station-wagon?referringPage=SearchResults
Subaru,Impreza,No,"$1,500",N/A,," Front Damage, Left Rear Damage, Right Rear Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007230321/2011-subaru-impreza-sedan?referringPage=SearchResults
Toyota,Aqua,No,"$1,450","117,577",1," Front Damage, Interior Damage, Right Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007240365/2016-toyota-aqua-hatch?referringPage=SearchResults
Nissan,Micra,Yes,"$1,600","45,930",0," Left Front Damage, Rear Damage, Right Rear Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240366/2007-nissan-micra-1-4-petrol-hatch-mt-hatch?referringPage=SearchResults
Suzuki,Swift,No,"$1,450",N/A,0," Left Front Damage, Left Side Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240377/2018-suzuki-swift-glc-1-2p-cvt-hatch?referringPage=SearchResults
Mazda,CX-5,No,$800,"149,753",," Has Key, Not Driveable, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007230388/2012-mazda-cx-5-hatch?referringPage=SearchResults
Case,IH Maxxum X140,No,"$15,000",N/A,, Selling De-Registered,N/A,N/A,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007210387/2014-case-ih-maxxum-x140-tractor?referringPage=SearchResults
BAILEY,Ranger,No,"$2,400",N/A,0," Interior Damage, Structural Damage, Water Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007240393/2000-bailey-ranger-caravan?referringPage=SearchResults
Nissan,Skyline,Yes,"$1,025","222,498",0," Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007230445/2005-nissan-skyline-250-gt-sedan?referringPage=SearchResults
Subaru,Impreza,Yes,$550,"193,355",0," Front Damage, Left Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240473/2001-subaru-impreza-hatch?referringPage=SearchResults
Ford,Territory,No,"$1,300","234,545",1," Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007240509/2012-ford-territory-titanium-awd-diesel-station-wagon?referringPage=SearchResults
Nissan,Navara,No,$500,N/A,0," Ignition Damage, Left Front Damage, Stolen & Recovered, Selling De-Registered","Automatic,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007220513/1999-nissan-navara-3-2d-4wd-s-c-c-c-5m-utility?referringPage=SearchResults
Audi,A6,No,$0,N/A,," Impound Vehicle, Right Side Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240558/2006-audi-a6-sedan?referringPage=SearchResults
Suzuki,Swift,Yes,"$2,050","106,636",0," Left Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240562/2008-suzuki-swift-glxa-1-5-5dr-hatch?referringPage=SearchResults
Ford,Falcon,No,"$1,450","181,796",1," Chassis Damage, Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240580/2012-ford-falcon-fg2-xr6-sedan-a-sedan?referringPage=SearchResults
MINI,Cooper,No,$500,"156,943",0," Glass Broken, Interior Damage, Water Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240594/2009-mini-cooper-hatch-6a-2dr-1-6i-hatch?referringPage=SearchResults
BMW,320i,Yes,"$1,000",N/A,," Engine Failure, Has Key, Not Driveable, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007220593/2010-bmw-320i-sedan?referringPage=SearchResults
Honda,CRV,Yes,$925,"253,858",1," Left Front Damage, Left Side Damage, Rear Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240697/2002-honda-crv-station-wagon?referringPage=SearchResults
Holden,VX Commodore,Yes,$425,"395,654",0," Front Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007240867/2001-holden-vx-commodore-3-8-exec-wagon-auto-station-wagon?referringPage=SearchResults
Toyota,Prius,No,N/A,"275,661",1," Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007230891/2019-toyota-prius-sedan?referringPage=SearchResults
