Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Toyota,Allex,No,$0,N/A,1," Front Damage, Left Rear Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007180003/2003-toyota-allex-hatch?referringPage=SearchResults
Nissan,X-trail,No,N/A,N/A,," Not Driveable, No Keys, Vandalised - Entire Vehicle, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190015/2015-nissan-x-trail-station-wagon?referringPage=SearchResults
Mercedes-Benz,A180,No,N/A,"59,094",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190077/2013-mercedes-benz-a180-5d-hatch?referringPage=SearchResults
Nissan,Skyline,Yes,$0,N/A,," Not Driveable, No Keys, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190133/2007-nissan-skyline-250gt-sedan?referringPage=SearchResults
Nissan,Note,No,N/A,"150,977",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190135/2016-nissan-note-5d-hatch?referringPage=SearchResults
Holden,Commodore,No,$0,N/A,1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210153/2016-holden-commodore-vf-sv6-3-6p-6at-sw--station-wagon?referringPage=SearchResults
Lexus,IS350,No,$0,"239,538",1," Chassis Damage, Front Damage, Left Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210162/2007-lexus-is350-sedan?referringPage=SearchResults
Nissan,Leaf,No,$0,"76,317",1," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic, Drive Type, Front Wheel Drive, Fuel Type, Electri",5,Electric,https://manheim.co.nz/damaged-vehicles/000000000007210164/2014-nissan-leaf-hatch?referringPage=SearchResults
Toyota,Hilux,No,$0,"356,461",1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",4,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210174/2002-toyota-hilux-2-7p-2wd-x-c-ute-5m-dual-cab-chassis?referringPage=SearchResults
Mazda,Axela,No,$0,N/A,1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210231/2011-mazda-axela-4wd-sedan?referringPage=SearchResults
Toyota,Hilux,No,N/A,"344,709",2," Glass Broken, Left Side Damage, Roof Damage, Right Front Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007210253/2018-toyota-hilux-sr5-td-dc-2-8d-4wd--dual-cab-utility?referringPage=SearchResults
Toyota,Yaris,No,$0,N/A,1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210271/2013-toyota-yaris-yr-1-3p-hatch5-4a-hatch?referringPage=SearchResults
Nissan,Dualis,Yes,$0,"158,055",1," Left Side Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210279/2008-nissan-dualis-station-wagon?referringPage=SearchResults
Audi,Q7,No,N/A,"143,900",," Drives, Has Key, Selling Registered","Automatic,",7,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007190292/2010-audi-q7-se-tdi-quattro-auto-5d-station-wagon?referringPage=SearchResults
Toyota,Corolla,No,$0,"277,686",1," Left Front Damage, Right Front Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210331/2008-toyota-corolla-1-8p-gx-hatch-5-4a-hatch?referringPage=SearchResults
Holden,Epica,No,$0,N/A,1," Left Side Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210332/2011-holden-epica-cdx-2-5l-sedan-at-sedan?referringPage=SearchResults
Nissan,Dualis,No,N/A,"162,591",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007190343/2008-nissan-dualis-5d-station-wagon?referringPage=SearchResults
Mazda,Axela,No,N/A,"175,613",," Drives, Has Key, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007190346/2016-mazda-axela-5d-hatch?referringPage=SearchResults
Nissan,Leaf,No,$0,"41,303",1," Right Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007210391/2017-nissan-leaf-hatch?referringPage=SearchResults
Mercedes-Benz,ML,No,N/A,"186,238",," Drives, Has Key, Selling Registered",N/A,5,N/A,https://manheim.co.nz/damaged-vehicles/000000000007180557/2012-mercedes-benz-ml-250-blue-tec-5d-station-wagon?referringPage=SearchResults
Mazda,Axela,No,$0,N/A,1," Front Damage, Left Front Damage, Right Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007210584/2013-mazda-axela-sedan?referringPage=SearchResults
Hyundai,I30,Yes,$0,"251,949",1," Left Rear Damage, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210589/2009-hyundai-i30-hatch?referringPage=SearchResults
Jeep,Grand Cherokee,No,N/A,"112,994",2," Left Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210632/2016-jeep-grand-cherokee-srt8-6-4p-4wd-8at-s-station-wagon?referringPage=SearchResults
Fiat,Punto,No,$0,N/A,1," Fire Damage, Interior Damage, Fire - Interior, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210636/2015-fiat-punto-pop-1-4p-5am-ha-5dr-hatch?referringPage=SearchResults
Nissan,Navara,No,N/A,"74,219",," Drives, Has Key, Selling Registered","6spd Manual,",5,N/A,https://manheim.co.nz/damaged-vehicles/000000000007160667/2022-nissan-navara-st-2-3d-4wd-6mt-4d-multi-purpose-vehicle?referringPage=SearchResults
Nissan,Vanette,No,$0,"139,238",1," Right Front Damage, Selling De-Registered","5spd Automatic,",3,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007210687/1994-nissan-vanette-utility?referringPage=SearchResults
Volkswagen,Tiguan,No,N/A,"72,860",1," Front Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210691/2019-volkswagen-tiguan-tsi-r-line-4motion-hatch?referringPage=SearchResults
Mazda,Axela,No,$0,"281,794",1," Glass Broken, Ignition Damage, Rear Damage, Roof Damage, Right Rear Damage, Vandalised - Interior, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210695/2005-mazda-axela-hatch?referringPage=SearchResults
Toyota,Hiace,No,N/A,N/A,2," Left Rear Damage, Left Side Damage, Roof Damage, Right Rear Damage, Structural Damage, Selling De-Registered","4spd Automatic,",2,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007180701/2018-toyota-hiace-zx-td-3-0dt-4at-van?referringPage=SearchResults
Mazda,Demio,No,$0,"258,288",1," Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210792/2010-mazda-demio-hatch?referringPage=SearchResults
Toyota,Avensis,No,$0,N/A,1," Rear Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210794/2013-toyota-avensis-station-wagon?referringPage=SearchResults
Toyota,Aqua,No,$0,"167,115",0," Front Damage, Glass Broken, Ignition Damage, Right Front Damage, Right Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007210796/2016-toyota-aqua-hybrid-hatch?referringPage=SearchResults
Toyota,Hilux,No,N/A,"419,779",0," Engine Damage, Interior Damage, Structural Damage, Water Damage, Selling De-Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007210797/2004-toyota-hilux-3-0d-sr5-d-c-ute-5m-dual-cab-utility?referringPage=SearchResults
Nissan,Murano,No,$0,N/A,1," Right Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210842/2004-nissan-murano-station-wagon?referringPage=SearchResults
Toyota,RAV4,No,N/A,"234,176",1," Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210847/2014-toyota-rav4-gxl-2-5p-suv-6a-station-wagon?referringPage=SearchResults
BMW,318i,No,$0,"111,455",1," Left Side Damage, Right Side Damage, Structural Damage, Suspension Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210850/2001-bmw-318i-sedan?referringPage=SearchResults
Suzuki,Swift,No,$0,"41,642",0," Front Damage, Right Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007210902/2020-suzuki-swift-glc-1-2p-cvt-hatch?referringPage=SearchResults
Toyota,Aqua,No,$0,N/A,0," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007210958/2012-toyota-aqua-hatch?referringPage=SearchResults
Lexus,HS250H,No,$0,N/A,0," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007210976/2009-lexus-hs250h-hybrid-sedan?referringPage=SearchResults
Mazda,Demio,Yes,$0,N/A,0," Stolen & Recovered, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007211036/2009-mazda-demio-hatch?referringPage=SearchResults
Toyota,Wish,No,N/A,"120,715",," Drives, Has Key, Selling Registered","5spd CVT,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007171036/2005-toyota-wish-5d-station-wagon?referringPage=SearchResults
Nissan,Fuga,No,N/A,"168,976",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181040/2007-nissan-fuga-4d-sedan?referringPage=SearchResults
Toyota,Hilux,No,N/A,"171,819",," Drives, Has Key, Selling Registered","Automatic,",5,N/A,https://manheim.co.nz/damaged-vehicles/000000000007181158/2016-toyota-hilux-sr5-td-dc-2-8d-6at--4d-dual-cab-utility?referringPage=SearchResults
Honda,Cr-z,No,N/A,"160,725",," Drives, Has Key, Selling Registered","4spd Automatic,",4,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007191209/2010-honda-cr-z-2d-hatch?referringPage=SearchResults
BMW,325i,Yes,N/A,N/A,," Not Driveable, No Keys, Selling Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007191289/2009-bmw-325i-sedan?referringPage=SearchResults
Ford,Ecosport,No,N/A,"74,511",," Drives, Has Key, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007181342/2015-ford-ecosport-titanium-1-5p-6at-s-5d-station-wagon?referringPage=SearchResults
Toyota,Aqua,No,$0,"260,643",1," Front Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007201354/2014-toyota-aqua-hatch?referringPage=SearchResults
Nissan,X-trail,No,N/A,N/A,1," Left Side Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007201364/2015-nissan-x-trail-st-2-5p-6cvt-sw-5dr-station-wagon?referringPage=SearchResults
Toyota,Camry,No,N/A,N/A,0," Front Damage, Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007201366/2019-toyota-camry-sedan?referringPage=SearchResults
ELDDIS,Mistral,No,"$1,650",N/A,1," Interior Damage, Left Side Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007201368/2009-elddis-mistral-caravan?referringPage=SearchResults
Mazda,Axela,No,$0,N/A,0," Front Damage, Airbags Deployed, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007201391/2012-mazda-axela-hatch?referringPage=SearchResults
