Manufacturer,Model,Registration Status,Price,Mileage,Keys,Damage description,Transmission,Seats,Fuel Type,Link
Yamaha,MT09A,No,"$1,400","18,906",," Left Side Damage, Right Front Damage, Right Side Damage, Structural Damage, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007280007/2021-yamaha-mt09a-spm-motorcycle?referringPage=SearchResults
Nissan,X-trail,Yes,$0,"241,896",, Selling Registered,"CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300067/2007-nissan-x-trail-station-wagon?referringPage=SearchResults
Mazda,Axela,No,$300,"114,925",," Front Damage, Rear Damage, Structural Damage, Selling De-Registered",N/A,5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007250087/2010-mazda-axela-hatch?referringPage=SearchResults
CARAVAN,ABI,No,$800,N/A,3," Front Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300094/1999-caravan-abi-caravan?referringPage=SearchResults
Nissan,Pulsar,Yes,$400,"202,259",," Ignition Damage, Left Side Damage, Right Front Damage, Stolen & Recovered, Selling Registered","Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300096/1991-nissan-pulsar-vi-hatch?referringPage=SearchResults
Honda,Torneo,Yes,$600,N/A,," Glass Broken, Ignition Damage, Left Rear Damage, Rear Damage, Vandalised - Interior, Stolen & Recovered, Selling Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300114/1997-honda-torneo-sedan?referringPage=SearchResults
John Deere,6430 STD,No,"$8,050",N/A,0," Engine Damage, Front Damage, Structural Damage, Fire Damaged, Selling De-Registered",N/A,N/A,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300136/2010-john-deere-6430-std-tractor?referringPage=SearchResults
Suzuki,Ignis,Yes,$600,"31,775",," Left Side Damage, Rear Damage, Right Side Damage, Structural Damage, Selling De-Registered","5spd Manual,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300145/2022-suzuki-ignis-glx-station-wagon?referringPage=SearchResults
Holden,Colorado,Yes,$0,"200,493",," Front Damage, Left Front Damage, Left Side Damage, Structural Damage, Selling De-Registered","5spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300154/2012-holden-colorado-4x4-lt-crw-pu-dsl-m-dual-cab-utility?referringPage=SearchResults
Mazda,Axela,Yes,$0,"308,291",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300162/2005-mazda-axela-sedan?referringPage=SearchResults
Nissan,Bluebird,Yes,$500,N/A,," Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300168/2005-nissan-bluebird-sylphy-sedan?referringPage=SearchResults
Toyota,Noah,Yes,$0,"131,811",," Front Damage, Left Rear Damage, Dismantled - Interior, Structural Damage, Selling De-Registered",N/A,7,Hybrid,https://manheim.co.nz/damaged-vehicles/000000000007300175/2014-toyota-noah-station-wagon?referringPage=SearchResults
Toyota,Corolla,Yes,"$2,600","131,531",," Left Side Damage, Selling Registered","CVT,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300230/2012-toyota-corolla-gx-1-8p-hatch-cv-hatch?referringPage=SearchResults
Case,E IH 115 W FEL,No,"$9,200",N/A,0," Fire Damage, Structural Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300232/2019-case-e-ih-115-w-fel-tractor?referringPage=SearchResults
Nissan,Bluebird,Yes,$0,N/A,," Front Damage, Structural Damage, Stolen & Recovered, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300263/1997-nissan-bluebird-sel-sedan-vel-2-0-sedan?referringPage=SearchResults
Mazda,Demio,Yes,$500,"104,981",," Front Damage, Left Front Damage, Left Rear Damage, Rear Damage, Right Front Damage, Right Rear Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300269/2010-mazda-demio-hatch?referringPage=SearchResults
PRESCOTT,Trailer,No,$320,N/A,0," Left Side Damage, Right Side Damage, Structural Damage, Under Body Damage, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300271/2013-prescott-trailer-trailer--box-domestic-?referringPage=SearchResults
TRAILER,Stow Away,No,$290,N/A,0," Left Side Damage, Structural Damage, Stolen & Recovered, Selling De-Registered",N/A,N/A,N/A,https://manheim.co.nz/damaged-vehicles/000000000007300276/2017-trailer-stow-away-trailer?referringPage=SearchResults
Holden,Crewman,No,$0,"424,910",," Left Side Damage, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300291/2005-holden-crewman-s-v6-dual-cab-utility?referringPage=SearchResults
Suzuki,DR-Z400E,Yes,$950,N/A,," Stolen & Recovered, Selling De-Registered","Automatic,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300293/2020-suzuki-dr-z400e-motorcycle?referringPage=SearchResults
Ford,Focus,Yes,$500,"235,528",," Left Front Damage, Selling Registered","Automatic,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007290341/2008-ford-focus-1-8td-wagon-station-wagon?referringPage=SearchResults
Honda,CBR,Yes,$475,"33,456",," Front Damage, Structural Damage, Selling De-Registered","Manual,",N/A,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300363/2014-honda-cbr-650-motorcycle?referringPage=SearchResults
Mitsubishi,Pajero,No,$0,"108,024",," Front Damage, Structural Damage, Selling De-Registered",N/A,7,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007270433/2002-mitsubishi-pajero-station-wagon?referringPage=SearchResults
Nissan,Bluebird,Yes,$500,N/A,," Front Damage, Airbags Deployed, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300462/2006-nissan-bluebird-sylphy-sedan?referringPage=SearchResults
Holden,Colorado,No,N/A,"186,425",, Selling De-Registered,"6spd Manual,",5,Diesel,https://manheim.co.nz/damaged-vehicles/000000000007300463/2016-holden-colorado-ltz-dc-pu-2-8d-6mt--dual-cab-utility?referringPage=SearchResults
Subaru,Outback,Yes,$15,N/A,," Fire Damage, Fire - Entire Vehicle, Structural Damage, Selling De-Registered","Automatic,",5,Petrol,https://manheim.co.nz/damaged-vehicles/000000000007300489/2011-subaru-outback-251-cvt-station-wagon?referringPage=SearchResults
